n,av,av/n,av/n^2,av/nlogn
8400,13996.666666666666,1.6662698412698411,0.00019836545729402872,0.12781893604617756
8500,14163.5,1.666294117647059,0.00019603460207612457,0.12765360998484768
8600,14329.566666666668,1.6662286821705428,0.00019374752118262126,0.1274837998247184
8700,14495.7,1.6661724137931035,0.00019151407055093144,0.12731702584425456
8800,14663.333333333334,1.6662878787878788,0.0001893508953168044,0.12716563225591052
8900,14829.6,1.666247191011236,0.00018721878550688044,0.1270045206579495
9000,14996.666666666666,1.6662962962962962,0.0001851440329218107,0.1268524036276432
9100,15163.466666666667,1.6663150183150184,0.00018311154047417785,0.1267000652509253
9200,15329.6,1.6662608695652175,0.00018111531190926277,0.1265442360158272
9300,15496.566666666668,1.6662974910394266,0.00017917177323004588,0.1263972991707776
9400,15663.033333333333,1.6662801418439717,0.00017726384487701824,0.12624821610505516
9500,15829.533333333333,1.6662666666666666,0.00017539649122807018,0.12610133262521617
9600,15996.6,1.6663125,0.00017357421875,0.12596079355121453
9700,16163.833333333334,1.6663745704467354,0.00017179119282956037,0.12582328840265866
9800,16330.466666666667,1.666374149659864,0.00017003817853672082,0.12568283367903296
9900,16496.566666666666,1.6663198653198652,0.0001683151379110975,0.12554005493551282
10000,16663.0,1.6663,0.00016663,0.12540157044372297
10100,16829.9,1.6663267326732674,0.0001649828448191354,0.12526824954550655
10200,16996.1,1.6662843137254901,0.00016336120722798921,0.12513135215360555
10300,17163.1,1.6663203883495143,0.00016177867848053538,0.1250019353367895
10400,17330.1,1.6663557692307691,0.00016022651627218933,0.12487401214194369
10500,17496.6,1.666342857142857,0.00015869931972789116,0.12474398635658358
10600,17663.6,1.666377358490566,0.00015720541117835528,0.1246189943799404
10700,17830.266666666666,1.666380062305296,0.0001557364544210557,0.1244930765116852
10800,17996.1,1.6663055555555555,0.0001542875514403292,0.12436282041562928
10900,18163.6,1.6663853211009172,0.00015287938725696488,0.12424547325911672
11000,18329.3,1.6663,0.00015148181818181816,0.12411718455793994
11100,18495.866666666665,1.6662942942942942,0.00015011660308957605,0.1239961720774092
11200,18663.066666666666,1.666345238095238,0.00014878082482993197,0.1238806843667364
11300,18830.166666666668,1.6663864306784661,0.00014746782572375806,0.1237657516370514
11400,18996.733333333334,1.6663801169590644,0.00014617369447009337,0.12364854926717807
11500,19162.5,1.666304347826087,0.00014489603024574668,0.1235274355102667
11600,19329.5,1.6663362068965517,0.00014364967300832342,0.12341551627950621
11700,19496.233333333334,1.6663447293447293,0.00014242262643972045,0.1233030553904031
11800,19663.266666666666,1.6663785310734462,0.00014121851958249544,0.12319362915809515
11900,19830.333333333332,1.6664145658263305,0.0001400348374643975,0.12308550834455236
12000,19996.4,1.6663666666666668,0.0001388638888888889,0.12297231237942718
12100,20163.133333333335,1.666374655647383,0.00013771691368986638,0.12286434624047345
12200,20329.966666666667,1.6663907103825137,0.00013658940249036997,0.12275805585092488
12300,20496.3,1.6663658536585366,0.00013547689867142573,0.1226498151016745
12400,20663.533333333333,1.6664139784946237,0.00013438822407214706,0.1225479882854416
12500,20829.833333333332,1.6663866666666665,0.00013331093333333332,0.12244163758746347
12600,20996.6,1.6663968253968253,0.00013225371630133534,0.1223390480455458
12700,21162.666666666668,1.6663517060367454,0.00013120879575092485,0.12223339149516131
